# time_s Ids_A Vds_V Vgs_V
4.1759999903e-08 1.1562500000e+01 3.6673437500e+02 9.4156246185e+00
5.2960000829e-08 2.3562500000e+01 3.5595312500e+02 1.1023437500e+01
6.2559998071e-08 4.4968750000e+01 3.4676562500e+02 1.1960937500e+01
7.2159998865e-08 6.3906250000e+01 3.3843750000e+02 1.2819531441e+01
8.1759999659e-08 8.3343750000e+01 3.3554687500e+02 1.3520312309e+01
9.1360000454e-08 1.0921875000e+02 3.3403125000e+02 1.4091405869e+01
1.0096000125e-07 1.3096875000e+02 3.3179687500e+02 1.4607812881e+01
1.1056000204e-07 1.5284375000e+02 3.3779687500e+02 1.5084375381e+01
1.2015999573e-07 1.7487500000e+02 3.4351562500e+02 1.5365625381e+01
1.2975999653e-07 1.9446875000e+02 3.4907812500e+02 1.5696874619e+01
1.3935999732e-07 2.1603125000e+02 3.5754687500e+02 1.6054687500e+01
1.4895999811e-07 2.3081250000e+02 3.6270312500e+02 1.6296092987e+01
1.5855999891e-07 2.4587500000e+02 3.6810937500e+02 1.6469532013e+01
1.6815999970e-07 2.6171875000e+02 3.7168750000e+02 1.6510156631e+01
1.7776000050e-07 2.7621875000e+02 3.7245312500e+02 1.6663280487e+01
1.8736000129e-07 2.8840625000e+02 3.7153125000e+02 1.6871093750e+01
1.9696000209e-07 2.9646875000e+02 3.7048437500e+02 1.6899999619e+01
2.0656000288e-07 3.1115625000e+02 3.6890625000e+02 1.7114843369e+01
2.1616000367e-07 3.2421875000e+02 3.6656250000e+02 1.7164844513e+01
2.2576000447e-07 3.3465625000e+02 3.6628125000e+02 1.7135156631e+01
2.3536000526e-07 3.4553125000e+02 3.6860937500e+02 1.7426563263e+01
2.4496000606e-07 3.5543750000e+02 3.7139062500e+02 1.7405467987e+01
2.5456000685e-07 3.6456250000e+02 3.7468750000e+02 1.7426563263e+01
2.6416000765e-07 3.6796875000e+02 3.7976562500e+02 1.7468750000e+01
2.7376000844e-07 3.7606250000e+02 3.8201562500e+02 1.7561717987e+01
