# time_s Ids_A Vds_V Vgs_V
5.5994998860e-08 1.0625000000e+01 7.8789843750e+02 6.6296873093e+00
6.8155003419e-08 1.1671875000e+01 7.8590625000e+02 7.0789060593e+00
7.7754997108e-08 1.3531250000e+01 7.8684375000e+02 7.3078126907e+00
8.7354997902e-08 1.8625000000e+01 7.9021875000e+02 7.5617189407e+00
9.6954998696e-08 2.1015625000e+01 7.8796875000e+02 7.6914062500e+00
1.0655499949e-07 2.1500000000e+01 7.8993750000e+02 7.9078125954e+00
1.1615500028e-07 2.3390625000e+01 7.8820312500e+02 8.0500001907e+00
1.2575499397e-07 2.6390625000e+01 7.9033593750e+02 8.1968746185e+00
1.3535499477e-07 2.6390625000e+01 7.8953906250e+02 8.3679685593e+00
1.4495499556e-07 2.8875000000e+01 7.9031250000e+02 8.4382810593e+00
1.5455499636e-07 2.9953125000e+01 7.9010156250e+02 8.4624996185e+00
1.6415499715e-07 3.0531250000e+01 7.9078125000e+02 8.5656251907e+00
1.7375499795e-07 3.5375000000e+01 7.9256250000e+02 8.6625003815e+00
1.8335499874e-07 3.4046875000e+01 7.9314843750e+02 8.6890621185e+00
1.9295499953e-07 3.7203125000e+01 7.9296093750e+02 8.7445316315e+00
2.0255500033e-07 3.5562500000e+01 7.9221093750e+02 8.7851562500e+00
2.1215500112e-07 3.8968750000e+01 7.9120312500e+02 8.8218746185e+00
2.2175500192e-07 4.0046875000e+01 7.9171875000e+02 8.7968750000e+00
2.3135500271e-07 4.0406250000e+01 7.9134375000e+02 8.9960937500e+00
2.4095498929e-07 4.1140625000e+01 7.9178906250e+02 8.7632808685e+00
2.5055499009e-07 4.0093750000e+01 7.9195312500e+02 8.7546873093e+00
2.6015499088e-07 4.2203125000e+01 7.9033593750e+02 8.9882812500e+00
2.6975499168e-07 4.2312500000e+01 7.9289062500e+02 8.9156246185e+00
2.7935499247e-07 4.3250000000e+01 7.9286718750e+02 9.0171871185e+00
2.8895499327e-07 4.3156250000e+01 7.9321875000e+02 8.9453125000e+00
2.9855499406e-07 4.4984375000e+01 7.9230468750e+02 8.9453125000e+00
3.0815499485e-07 4.4375000000e+01 7.9183593750e+02 9.0718746185e+00
3.1775499565e-07 4.3921875000e+01 7.9246875000e+02 8.9117183685e+00
3.2735499644e-07 4.5468750000e+01 7.9342968750e+02 9.0257816315e+00
3.3695499724e-07 4.7890625000e+01 7.9312500000e+02 9.0820312500e+00
3.4655499803e-07 4.6593750000e+01 7.9244531250e+02 8.9343748093e+00
3.5615499883e-07 4.5687500000e+01 7.9373437500e+02 9.0039062500e+00
3.6575499962e-07 4.7734375000e+01 7.9314843750e+02 9.0257816315e+00
3.7535500041e-07 4.8921875000e+01 7.9321875000e+02 9.0749998093e+00
3.8495500121e-07 4.7343750000e+01 7.9303125000e+02 9.0812501907e+00
3.9455500200e-07 4.9453125000e+01 7.9443750000e+02 8.9976558685e+00
4.0415500280e-07 4.9875000000e+01 7.9232812500e+02 9.0242185593e+00
4.1375500359e-07 4.8562500000e+01 7.9249218750e+02 9.0242185593e+00
4.2335500439e-07 5.0125000000e+01 7.9127343750e+02 8.9335937500e+00
4.3295500518e-07 5.0734375000e+01 7.9127343750e+02 8.8773441315e+00
4.4255500598e-07 5.0265625000e+01 7.9335937500e+02 9.0523433685e+00
4.5215500677e-07 5.1656250000e+01 7.9176562500e+02 9.0312500000e+00
4.6175500756e-07 4.9921875000e+01 7.9570312500e+02 9.0749998093e+00
4.7135500836e-07 5.1609375000e+01 7.9244531250e+02 8.9203128815e+00
4.8095500915e-07 5.0640625000e+01 7.9417968750e+02 9.0460939407e+00
4.9055500995e-07 5.0859375000e+01 7.9127343750e+02 9.1437501907e+00
5.0015501074e-07 5.1359375000e+01 7.9403906250e+02 9.1015625000e+00
5.0975501154e-07 5.1937500000e+01 7.9139062500e+02 9.0992183685e+00
5.1935501233e-07 5.1046875000e+01 7.9284375000e+02 9.0031251907e+00
5.2895501312e-07 5.3468750000e+01 7.9516406250e+02 9.0085935593e+00
5.3855501392e-07 5.4484375000e+01 7.9469531250e+02 8.9382810593e+00
5.4815501471e-07 5.4671875000e+01 7.9289062500e+02 9.0742187500e+00
5.5775501551e-07 5.0937500000e+01 7.9321875000e+02 9.0984373093e+00
5.6735501630e-07 5.3234375000e+01 7.9490625000e+02 9.1953125000e+00
5.7695501710e-07 5.6750000000e+01 7.9394531250e+02 9.1429691315e+00
5.8655501789e-07 5.4375000000e+01 7.9382812500e+02 9.0000000000e+00
5.9615501868e-07 5.5406250000e+01 7.9317187500e+02 8.8679685593e+00
6.0575501948e-07 5.5546875000e+01 7.9366406250e+02 8.9406251907e+00
6.1535502027e-07 5.6921875000e+01 7.9364062500e+02 9.1164064407e+00
6.2495502107e-07 5.6875000000e+01 7.9394531250e+02 9.0398435593e+00
6.3455502186e-07 5.7562500000e+01 7.9436718750e+02 9.0890626907e+00
6.4415502266e-07 5.7296875000e+01 7.9239843750e+02 9.1257810593e+00
6.5375502345e-07 5.8765625000e+01 7.9485937500e+02 9.1125001907e+00
6.6335502424e-07 5.9156250000e+01 7.9249218750e+02 8.9734373093e+00
6.7295502504e-07 5.9000000000e+01 7.9350000000e+02 9.0273437500e+00
6.8255502583e-07 5.8390625000e+01 7.9471875000e+02 9.1679687500e+00
6.9215502663e-07 5.6921875000e+01 7.9425000000e+02 9.0328121185e+00
7.0175502742e-07 6.0265625000e+01 7.9204687500e+02 8.9765625000e+00
7.1135502822e-07 6.0218750000e+01 7.9335937500e+02 9.0710935593e+00
7.2095497217e-07 5.9484375000e+01 7.9478906250e+02 9.0015621185e+00
7.3055497296e-07 6.1296875000e+01 7.9249218750e+02 9.0140628815e+00
7.4015497376e-07 6.1250000000e+01 7.9542187500e+02 9.0343751907e+00
7.4975497455e-07 6.2421875000e+01 7.9439062500e+02 9.0984373093e+00
7.5935497534e-07 6.0843750000e+01 7.9132031250e+02 8.9640626907e+00
7.6895497614e-07 6.1343750000e+01 7.9265625000e+02 8.9757814407e+00
7.7855497693e-07 6.0968750000e+01 7.9425000000e+02 9.0500001907e+00
7.8815497773e-07 6.2453125000e+01 7.9392187500e+02 8.9367189407e+00
7.9775497852e-07 6.2093750000e+01 7.9333593750e+02 9.0195312500e+00
8.0735497932e-07 6.2562500000e+01 7.9068750000e+02 9.0851564407e+00
8.1695498011e-07 6.3875000000e+01 7.9139062500e+02 9.1187496185e+00
8.2655498090e-07 6.3640625000e+01 7.9225781250e+02 9.0812501907e+00
8.3615498170e-07 6.4156250000e+01 7.9303125000e+02 9.1070308685e+00
8.4575498249e-07 6.5109375000e+01 7.9305468750e+02 9.0546875000e+00
8.5535498329e-07 6.4562500000e+01 7.9108593750e+02 8.9914064407e+00
8.6495498408e-07 6.4734375000e+01 7.9197656250e+02 8.8906250000e+00
8.7455498488e-07 6.7812500000e+01 7.9223437500e+02 9.1054687500e+00
8.8415498567e-07 6.4781250000e+01 7.9235156250e+02 9.0218753815e+00
8.9375498646e-07 6.6765625000e+01 7.9331250000e+02 9.0648441315e+00
9.0335498726e-07 6.7453125000e+01 7.9350000000e+02 8.9585933685e+00
9.1295498805e-07 6.7062500000e+01 7.9314843750e+02 8.9304685593e+00
9.2255498885e-07 6.8796875000e+01 7.9357031250e+02 9.0890626907e+00
9.3215498964e-07 6.8890625000e+01 7.9385156250e+02 9.0304689407e+00
9.4175499044e-07 6.8000000000e+01 7.9218750000e+02 9.0140628815e+00
9.5135499123e-07 6.9625000000e+01 7.9195312500e+02 9.1062498093e+00
9.6095504887e-07 6.7890625000e+01 7.9195312500e+02 9.0242185593e+00
9.7055499282e-07 7.0609375000e+01 7.9317187500e+02 9.0257816315e+00
9.8015505046e-07 6.8609375000e+01 7.9338281250e+02 9.0664062500e+00
9.8975499441e-07 6.8796875000e+01 7.9371093750e+02 9.0320310593e+00
9.9935505204e-07 7.1828125000e+01 7.9399218750e+02 9.0000000000e+00
1.0089549960e-06 7.2578125000e+01 7.9218750000e+02 9.0703125000e+00
1.0185550536e-06 7.1312500000e+01 7.9455468750e+02 9.0515623093e+00
1.0281549976e-06 7.4437500000e+01 7.9378125000e+02 9.1953125000e+00
1.0377550552e-06 7.2218750000e+01 7.9265625000e+02 9.1164064407e+00
1.0473549992e-06 7.3312500000e+01 7.9181250000e+02 9.0984373093e+00
