group,source,vds_max,vgs_max,time_max,checkpoint,param1,param2,param3,param4,param5,param6,param7,param8,param9,epi_thickness,T_initial,vds_coef_slope,vds_coef_intercept
600V__vgs11_000_ALL_csv,600V\vgs11_000_ALL.csv,667.710938,11.3851562,4.036475e-06,checkpoints\600V__vgs11_000_ALL_csv_Vds667.710938_Vgs11.3851562_20260116_031655.pt,77.83097839355469,1.5702744722366333,5.332642555236816,3.5388998985290527,-0.10149472206830978,8.386614799499512,3.1820483207702637,5.0,-0.5,9.999999747378752e-06,337.3992004394531,0.0,0.0
600V__vgs12_000_ALL_csv,600V\vgs12_000_ALL.csv,668.625,12.4664062,4.055995e-06,checkpoints\600V__vgs12_000_ALL_csv_Vds668.625_Vgs12.4664062_20260116_040622.pt,78.75926971435547,1.767755389213562,5.530456066131592,3.5388998985290527,-0.10149674862623215,7.9880757331848145,2.8518128395080566,5.0,-0.5,9.999999747378752e-06,333.60247802734375,0.0,0.0
600V__vgs13_000_ALL_csv,600V\vgs13_000_ALL.csv,664.710938,13.4796875,4.066395e-06,checkpoints\600V__vgs13_000_ALL_csv_Vds664.710938_Vgs13.4796875_20260116_045613.pt,79.2215347290039,1.8926472663879395,5.745481491088867,3.5388998985290527,-0.10149016231298447,7.987432956695557,2.458926200866699,5.0,-0.5,9.999999747378752e-06,334.12530517578125,0.0,0.0
600V__vgs14_000_ALL_csv,600V\vgs14_000_ALL.csv,662.179688,14.534375,4.110555e-06,checkpoints\600V__vgs14_000_ALL_csv_Vds662.179688_Vgs14.534375_20260116_054642.pt,80.38456726074219,2.013380527496338,5.730233192443848,3.5388998985290527,-0.10149016231298447,7.499913215637207,2.137596368789673,5.0,-0.5,9.999999747378752e-06,334.2939453125,0.0,0.0
600V__vgs15_000_ALL_csv,600V\vgs15_000_ALL.csv,658.03125,15.5523438,4.160475e-06,checkpoints\600V__vgs15_000_ALL_csv_Vds658.03125_Vgs15.5523438_20260116_063820.pt,80.38267517089844,2.198806047439575,5.602458953857422,3.5388998985290527,-0.10149016231298447,6.407106876373291,1.845145344734192,5.0,-0.5,9.999999747378752e-06,334.6634826660156,0.0,0.0
600V__vgs9_000_ALL_csv,600V\vgs9_000_ALL.csv,652.265625,9.2765625,3.968155e-06,checkpoints\600V__vgs9_000_ALL_csv_Vds652.265625_Vgs9.2765625_20260116_072708.pt,76.81816864013672,0.7532735466957092,4.68703556060791,3.5388998985290527,-0.10149016231298447,9.09394359588623,3.822361707687378,5.0,-0.5,9.999999747378752e-06,343.45196533203125,0.0,0.0
800V__vgs10_000_ALL_csv,800V\vgs10_000_ALL.csv,858.703125,10.315625,4.022715e-06,checkpoints\800V__vgs10_000_ALL_csv_Vds858.703125_Vgs10.315625_20260116_081608.pt,78.96317291259766,1.5443658828735352,5.08932638168335,3.5388998985290527,-0.10151093453168869,7.761833190917969,3.3355891704559326,5.0,-0.5,9.999999747378752e-06,335.2626647949219,0.0,0.0
800V__vgs11_000_ALL_csv,800V\vgs11_000_ALL.csv,858.046875,11.3867188,4.052315e-06,checkpoints\800V__vgs11_000_ALL_csv_Vds858.046875_Vgs11.3867188_20260116_090523.pt,79.85541534423828,1.7850202322006226,5.380661487579346,3.5388998985290527,-0.10149016231298447,7.231570720672607,2.869321346282959,5.0,-0.5,9.999999747378752e-06,331.84613037109375,0.0,0.0
800V__vgs12_000_ALL_csv,800V\vgs12_000_ALL.csv,855.1875,12.4023438,4.112955e-06,checkpoints\800V__vgs12_000_ALL_csv_Vds855.1875_Vgs12.4023438_20260116_095537.pt,80.79846954345703,1.869577169418335,5.709592342376709,3.5388998985290527,-0.10155235230922699,7.594974994659424,2.4849178791046143,5.0,-0.5,9.999999747378752e-06,329.0837707519531,0.0,0.0
800V__vgs13_000_ALL_csv,800V\vgs13_000_ALL.csv,849.070312,13.4765625,4.563515e-06,checkpoints\800V__vgs13_000_ALL_csv_Vds849.070312_Vgs13.4765625_20260116_105202.pt,79.40094757080078,1.920844554901123,5.421827793121338,3.5388998985290527,-0.10149016231298447,7.144007205963135,2.1614222526550293,5.0,-0.5,9.999999747378752e-06,337.7596130371094,0.0,0.0
800V__vgs14-ng_000_ALL_csv,800V\vgs14-ng_000_ALL.csv,848.0,14.6,4.03e-06,checkpoints\800V__vgs14-ng_000_ALL_csv_Vds848.0_Vgs14.6_20260116_114419.pt,78.52533721923828,1.7476812601089478,5.371182441711426,3.5388998985290527,-0.10160581767559052,9.208953857421875,2.124361991882324,5.0,-0.5,9.999999747378752e-06,343.3190002441406,0.0,0.0
800V__vgs9_000_ALL_csv,800V\vgs9_000_ALL.csv,855.234375,9.1953125,3.995515e-06,checkpoints\800V__vgs9_000_ALL_csv_Vds855.234375_Vgs9.1953125_20260116_123323.pt,77.80353546142578,1.162150502204895,4.63321590423584,3.5388998985290527,-0.10149016231298447,8.306452751159668,3.8376224040985107,5.0,-0.5,9.999999747378752e-06,340.4164733886719,0.0,0.0
