# time_s Ids_A Vds_V Vgs_V
4.3120000015e-08 1.0781250000e+01 3.6685937500e+02 9.8351564407e+00
5.2720000809e-08 2.4375000000e+01 3.5748437500e+02 1.0917187691e+01
6.2319998051e-08 4.1968750000e+01 3.4826562500e+02 1.1864843369e+01
7.1919998845e-08 5.8187500000e+01 3.4039062500e+02 1.2892969131e+01
8.1519999640e-08 8.3031250000e+01 3.3518750000e+02 1.3435937881e+01
9.1120000434e-08 1.0781250000e+02 3.3090625000e+02 1.4071874619e+01
1.0072000123e-07 1.3190625000e+02 3.3300000000e+02 1.4418749809e+01
1.1032000202e-07 1.4853125000e+02 3.3804687500e+02 1.4960937500e+01
1.1992000282e-07 1.7115625000e+02 3.4342187500e+02 1.5425781250e+01
1.2952000361e-07 1.9196875000e+02 3.4978125000e+02 1.5696874619e+01
1.3912000441e-07 2.1437500000e+02 3.5807812500e+02 1.5917187691e+01
1.4872000520e-07 2.3012500000e+02 3.6564062500e+02 1.6331249237e+01
1.5832000599e-07 2.4784375000e+02 3.7056250000e+02 1.6469532013e+01
1.6792000679e-07 2.6296875000e+02 3.7246875000e+02 1.6568750381e+01
1.7751999337e-07 2.7437500000e+02 3.7334375000e+02 1.6486719131e+01
1.8711999417e-07 2.8715625000e+02 3.7151562500e+02 1.6878124237e+01
1.9671999496e-07 2.9818750000e+02 3.7103125000e+02 1.6810937881e+01
2.0631999575e-07 3.1434375000e+02 3.6967187500e+02 1.7069530487e+01
2.1591999655e-07 3.2671875000e+02 3.6745312500e+02 1.7060937881e+01
2.2551999734e-07 3.3290625000e+02 3.6650000000e+02 1.7207031250e+01
2.3511999814e-07 3.4303125000e+02 3.6839062500e+02 1.7297657013e+01
2.4472001314e-07 3.5775000000e+02 3.7214062500e+02 1.7442968369e+01
2.5432001394e-07 3.5987500000e+02 3.7582812500e+02 1.7520313263e+01
2.6391998631e-07 3.7181250000e+02 3.7932812500e+02 1.7556249619e+01
2.7351998710e-07 3.7990625000e+02 3.8378125000e+02 1.7553905487e+01
2.8311998790e-07 3.8768750000e+02 3.8426562500e+02 1.7676563263e+01
2.9271998869e-07 3.9490625000e+02 3.8679687500e+02 1.7519531250e+01
3.0231998949e-07 4.0318750000e+02 3.8514062500e+02 1.7738281250e+01
