# time_s Ids_A Vds_V Vgs_V
3.8879999664e-08 1.0500000000e+01 3.7170312500e+02 9.1687498093e+00
5.0720000644e-08 2.3593750000e+01 3.5848437500e+02 1.0720312119e+01
6.0319997885e-08 4.1156250000e+01 3.4920312500e+02 1.1686718941e+01
6.9919998680e-08 5.9968750000e+01 3.4203125000e+02 1.2469531059e+01
7.9519999474e-08 8.4718750000e+01 3.3732812500e+02 1.3235937119e+01
8.9120000268e-08 1.0609375000e+02 3.3442187500e+02 1.3894531250e+01
9.8720001063e-08 1.2690625000e+02 3.3242187500e+02 1.4376562119e+01
1.0832000186e-07 1.5171875000e+02 3.3460937500e+02 1.4874218941e+01
1.1792000265e-07 1.7646875000e+02 3.4190625000e+02 1.5262499809e+01
1.2751999634e-07 1.9553125000e+02 3.4862500000e+02 1.5623437881e+01
1.3711999713e-07 2.1921875000e+02 3.5662500000e+02 1.5821093559e+01
1.4671999793e-07 2.3543750000e+02 3.6348437500e+02 1.6113281250e+01
1.5631999872e-07 2.5393750000e+02 3.6834375000e+02 1.6321094513e+01
1.6591999952e-07 2.6828125000e+02 3.7218750000e+02 1.6559375763e+01
1.7552000031e-07 2.8287500000e+02 3.7154687500e+02 1.6573436737e+01
1.8512000111e-07 2.9718750000e+02 3.7278125000e+02 1.6851562500e+01
1.9472000190e-07 3.0737500000e+02 3.7235937500e+02 1.6720312119e+01
2.0432000269e-07 3.2403125000e+02 3.7009375000e+02 1.6910938263e+01
2.1392000349e-07 3.2975000000e+02 3.6814062500e+02 1.6998437881e+01
2.2352000428e-07 3.4290625000e+02 3.6728125000e+02 1.7182811737e+01
2.3312000508e-07 3.5406250000e+02 3.6885937500e+02 1.7158594131e+01
2.4272000587e-07 3.5956250000e+02 3.7267187500e+02 1.7294530869e+01
2.5232000667e-07 3.7175000000e+02 3.7371875000e+02 1.7387500763e+01
2.6192000746e-07 3.8343750000e+02 3.7757812500e+02 1.7453125000e+01
2.7152000825e-07 3.8709375000e+02 3.8093750000e+02 1.7494531631e+01
2.8112000905e-07 3.9837500000e+02 3.8360937500e+02 1.7543750763e+01
2.9072000984e-07 4.0940625000e+02 3.8553125000e+02 1.7689062119e+01
3.0032001064e-07 4.1115625000e+02 3.8626562500e+02 1.7593750000e+01
3.0992001143e-07 4.1878125000e+02 3.8545312500e+02 1.7546875000e+01
3.1952001223e-07 4.2596875000e+02 3.8375000000e+02 1.7715625763e+01
3.2912001302e-07 4.3506250000e+02 3.8256250000e+02 1.7649219513e+01
