# time_s Ids_A Vds_V Vgs_V
4.0479999797e-08 1.1781250000e+01 3.6954687500e+02 9.3085937500e+00
5.1360000697e-08 2.3125000000e+01 3.5673437500e+02 1.0699218750e+01
6.0959997938e-08 4.0656250000e+01 3.4759375000e+02 1.1850781441e+01
7.0559998733e-08 6.3593750000e+01 3.4168750000e+02 1.2753906250e+01
8.0159999527e-08 8.1031250000e+01 3.3562500000e+02 1.3308593750e+01
8.9760000321e-08 1.0921875000e+02 3.3203125000e+02 1.4038281441e+01
9.9360001116e-08 1.2703125000e+02 3.3539062500e+02 1.4607030869e+01
1.0896000191e-07 1.4821875000e+02 3.3604687500e+02 1.5086718559e+01
1.1856000270e-07 1.7268750000e+02 3.4073437500e+02 1.5385937691e+01
1.2815999639e-07 1.9331250000e+02 3.4668750000e+02 1.5902343750e+01
1.3775999719e-07 2.1259375000e+02 3.5642187500e+02 1.6024999619e+01
1.4735999798e-07 2.2831250000e+02 3.6457812500e+02 1.6255468369e+01
1.5695999878e-07 2.4200000000e+02 3.6856250000e+02 1.6535156250e+01
1.6655999957e-07 2.6150000000e+02 3.7284375000e+02 1.6710937500e+01
1.7616000036e-07 2.7353125000e+02 3.7376562500e+02 1.6779687881e+01
1.8576000116e-07 2.8500000000e+02 3.7262500000e+02 1.6875000000e+01
1.9536000195e-07 3.0081250000e+02 3.7035937500e+02 1.6988281250e+01
2.0496000275e-07 3.1175000000e+02 3.6760937500e+02 1.6962499619e+01
2.1456000354e-07 3.2187500000e+02 3.6675000000e+02 1.7082813263e+01
2.2416000434e-07 3.3078125000e+02 3.6685937500e+02 1.7281250000e+01
2.3376000513e-07 3.4293750000e+02 3.6804687500e+02 1.7400781631e+01
2.4336000592e-07 3.5012500000e+02 3.7235937500e+02 1.7363281250e+01
2.5296000672e-07 3.5771875000e+02 3.7512500000e+02 1.7575000763e+01
2.6256000751e-07 3.6987500000e+02 3.7895312500e+02 1.7553905487e+01
2.7216000831e-07 3.7837500000e+02 3.8337500000e+02 1.7637500763e+01
2.8176000910e-07 3.8565625000e+02 3.8445312500e+02 1.7732812881e+01
2.9136000990e-07 3.9325000000e+02 3.8695312500e+02 1.7795312881e+01
3.0096001069e-07 4.0406250000e+02 3.8592187500e+02 1.7649999619e+01
3.1056001148e-07 4.0706250000e+02 3.8482812500e+02 1.7725000381e+01
3.2016001228e-07 4.1190625000e+02 3.8278125000e+02 1.7782032013e+01
3.2976001307e-07 4.1990625000e+02 3.8081250000e+02 1.7681249619e+01
3.3936001387e-07 4.2571875000e+02 3.7943750000e+02 1.7768749237e+01
3.4895998624e-07 4.2884375000e+02 3.8084375000e+02 1.7795312881e+01
3.5855998703e-07 4.3759375000e+02 3.8201562500e+02 1.7879688263e+01
3.6815998783e-07 4.4093750000e+02 3.8304687500e+02 1.7803905487e+01
3.7775998862e-07 4.4675000000e+02 3.8506250000e+02 1.7899219513e+01
3.8735998942e-07 4.5034375000e+02 3.8778125000e+02 1.7853906631e+01
3.9695999021e-07 4.5631250000e+02 3.8823437500e+02 1.7879688263e+01
4.0655999101e-07 4.5815625000e+02 3.9126562500e+02 1.7839843750e+01
4.1615999180e-07 4.6146875000e+02 3.9178125000e+02 1.7929687500e+01
