# time_s Ids_A Vds_V Vgs_V
3.7275000864e-08 1.1000000000e+01 5.7829687500e+02 7.4359374046e+00
4.6875001658e-08 1.9562500000e+01 5.7217968750e+02 8.6039066315e+00
5.6474998900e-08 3.3421875000e+01 5.6252343750e+02 9.5421876907e+00
6.6075003247e-08 4.7859375000e+01 5.5821093750e+02 1.0296875000e+01
7.5674996936e-08 6.1953125000e+01 5.5539843750e+02 1.0940625191e+01
8.5274997730e-08 7.8625000000e+01 5.5357031250e+02 1.1460156441e+01
9.4874998524e-08 9.1890625000e+01 5.5591406250e+02 1.1884374619e+01
1.0447499932e-07 1.0723437500e+02 5.5650000000e+02 1.2332812309e+01
1.1407500011e-07 1.2121875000e+02 5.6292187500e+02 1.2824218750e+01
1.2367499380e-07 1.3548437500e+02 5.6467968750e+02 1.3167968750e+01
1.3327499460e-07 1.4870312500e+02 5.6824218750e+02 1.3351562500e+01
1.4287499539e-07 1.6057812500e+02 5.6953125000e+02 1.3689844131e+01
1.5247499618e-07 1.7020312500e+02 5.7330468750e+02 1.3812500000e+01
1.6207499698e-07 1.8098437500e+02 5.7135937500e+02 1.3822656631e+01
1.7167499777e-07 1.9207812500e+02 5.6962500000e+02 1.3841405869e+01
1.8127499857e-07 2.0151562500e+02 5.6857031250e+02 1.4085156441e+01
1.9087499936e-07 2.0957812500e+02 5.6807812500e+02 1.4258593559e+01
2.0047500016e-07 2.1839062500e+02 5.7154687500e+02 1.4340624809e+01
2.1007500095e-07 2.2631250000e+02 5.7367968750e+02 1.4523437500e+01
2.1967500174e-07 2.3639062500e+02 5.7759375000e+02 1.4489062309e+01
2.2927500254e-07 2.4409375000e+02 5.7841406250e+02 1.4678906441e+01
2.3887500333e-07 2.5046875000e+02 5.8139062500e+02 1.4718750000e+01
2.4847500413e-07 2.5779687500e+02 5.7960937500e+02 1.4863281250e+01
2.5807500492e-07 2.6484375000e+02 5.7914062500e+02 1.4828125000e+01
2.6767500572e-07 2.6937500000e+02 5.8012500000e+02 1.4717187881e+01
2.7727500651e-07 2.7539062500e+02 5.7740625000e+02 1.4778905869e+01
2.8687500730e-07 2.8192187500e+02 5.7733593750e+02 1.4757031441e+01
2.9647500810e-07 2.8818750000e+02 5.7963281250e+02 1.4881250381e+01
3.0607500889e-07 2.9215625000e+02 5.7871875000e+02 1.4956250191e+01
3.1567500969e-07 2.9812500000e+02 5.8429687500e+02 1.5012499809e+01
3.2527501048e-07 3.0431250000e+02 5.8305468750e+02 1.5018750191e+01
3.3487501128e-07 3.0901562500e+02 5.8406250000e+02 1.4978906631e+01
3.4447501207e-07 3.1410937500e+02 5.8396875000e+02 1.5039062500e+01
3.5407501286e-07 3.1639062500e+02 5.8279687500e+02 1.5021875381e+01
3.6367501366e-07 3.2237500000e+02 5.8483593750e+02 1.5020312309e+01
3.7327498603e-07 3.2528125000e+02 5.8476562500e+02 1.5196093559e+01
3.8287498683e-07 3.3076562500e+02 5.8352343750e+02 1.5123437881e+01
3.9247498762e-07 3.3435937500e+02 5.8263281250e+02 1.5127344131e+01
4.0207498841e-07 3.3893750000e+02 5.8450781250e+02 1.5171093941e+01
4.1167498921e-07 3.4314062500e+02 5.8492968750e+02 1.5203125000e+01
4.2127499000e-07 3.4687500000e+02 5.8785937500e+02 1.5256250381e+01
4.3087499080e-07 3.5079687500e+02 5.8842187500e+02 1.5278124809e+01
4.4047499159e-07 3.5418750000e+02 5.8790625000e+02 1.5143750191e+01
4.5007499239e-07 3.5660937500e+02 5.8856250000e+02 1.5158594131e+01
4.5967499318e-07 3.5942187500e+02 5.8650000000e+02 1.5245312691e+01
4.6927499397e-07 3.6229687500e+02 5.8823437500e+02 1.4985156059e+01
4.7887499477e-07 3.6415625000e+02 5.8600781250e+02 1.5119531631e+01
4.8847499556e-07 3.6817187500e+02 5.8605468750e+02 1.5139843941e+01
4.9807499636e-07 3.7121875000e+02 5.8614843750e+02 1.5224218369e+01
5.0767499715e-07 3.7542187500e+02 5.8914843750e+02 1.5171875000e+01
5.1727499795e-07 3.7754687500e+02 5.8750781250e+02 1.5202343941e+01
5.2687499874e-07 3.8056250000e+02 5.8910156250e+02 1.5158594131e+01
5.3647499954e-07 3.8192187500e+02 5.9210156250e+02 1.5314062119e+01
5.4607500033e-07 3.8671875000e+02 5.8992187500e+02 1.5258593559e+01
5.5567500112e-07 3.8731250000e+02 5.8917187500e+02 1.5241406441e+01
5.6527500192e-07 3.8962500000e+02 5.8720312500e+02 1.5272656441e+01
5.7487500271e-07 3.9101562500e+02 5.8996875000e+02 1.5210156441e+01
5.8447500351e-07 3.9334375000e+02 5.8832812500e+02 1.5136718750e+01
5.9407500430e-07 3.9539062500e+02 5.8959375000e+02 1.5342968941e+01
6.0367500510e-07 3.9676562500e+02 5.9121093750e+02 1.5335937500e+01
6.1327500589e-07 3.9920312500e+02 5.8987500000e+02 1.5246093750e+01
6.2287500668e-07 4.0179687500e+02 5.8954687500e+02 1.5313281059e+01
6.3247500748e-07 4.0317187500e+02 5.9076562500e+02 1.5257812500e+01
6.4207500827e-07 4.0471875000e+02 5.9064843750e+02 1.5259374619e+01
6.5167500907e-07 4.0775000000e+02 5.9107031250e+02 1.5183593750e+01
6.6127500986e-07 4.0625000000e+02 5.9043750000e+02 1.5280468941e+01
6.7087501066e-07 4.0801562500e+02 5.9111718750e+02 1.5253906250e+01
6.8047501145e-07 4.0948437500e+02 5.9306250000e+02 1.5288281441e+01
6.9007501224e-07 4.1087500000e+02 5.9341406250e+02 1.5197656631e+01
