# time_s Ids_A Vds_V Vgs_V
4.0155001102e-08 1.0343750000e+01 5.9097656250e+02 6.5890626907e+00
5.3914998688e-08 1.3468750000e+01 5.9144531250e+02 7.2414064407e+00
6.3515003035e-08 1.6796875000e+01 5.8821093750e+02 7.7679686546e+00
7.3114996724e-08 2.0859375000e+01 5.8957031250e+02 7.9749999046e+00
8.2714997518e-08 2.3765625000e+01 5.8989843750e+02 8.2382812500e+00
9.2314998312e-08 2.8000000000e+01 5.9069531250e+02 8.6929683685e+00
1.0191499911e-07 3.0687500000e+01 5.9182031250e+02 8.8203125000e+00
1.1151499990e-07 3.3484375000e+01 5.9289843750e+02 8.9304685593e+00
1.2111499359e-07 3.7125000000e+01 5.9313281250e+02 9.1601562500e+00
1.3071499438e-07 4.1078125000e+01 5.9285156250e+02 9.2343750000e+00
1.4031499518e-07 4.1750000000e+01 5.9437500000e+02 9.4531250000e+00
1.4991499597e-07 4.3390625000e+01 5.9282812500e+02 9.3585939407e+00
1.5951499677e-07 4.5968750000e+01 5.9292187500e+02 9.5039062500e+00
1.6911499756e-07 4.9312500000e+01 5.9421093750e+02 9.5648441315e+00
1.7871499836e-07 5.1671875000e+01 5.9395312500e+02 9.7148437500e+00
1.8831499915e-07 5.2625000000e+01 5.9458593750e+02 9.7296876907e+00
1.9791499994e-07 5.4234375000e+01 5.9533593750e+02 9.7015628815e+00
2.0751500074e-07 5.6968750000e+01 5.9594531250e+02 9.8531246185e+00
2.1711500153e-07 5.7250000000e+01 5.9451562500e+02 9.8437500000e+00
2.2671500233e-07 5.9843750000e+01 5.9486718750e+02 9.8718748093e+00
2.3631500312e-07 5.7953125000e+01 5.9678906250e+02 9.9750003815e+00
2.4591500392e-07 6.0046875000e+01 5.9744531250e+02 9.8914060593e+00
2.5551500471e-07 6.2437500000e+01 5.9585156250e+02 9.9320316315e+00
2.6511500550e-07 6.3468750000e+01 5.9521875000e+02 1.0057812691e+01
2.7471500630e-07 6.4765625000e+01 5.9451562500e+02 9.9890623093e+00
2.8431500709e-07 6.4718750000e+01 5.9714062500e+02 9.9132814407e+00
2.9391500789e-07 6.6250000000e+01 5.9610937500e+02 9.9671878815e+00
3.0351500868e-07 6.5734375000e+01 5.9791406250e+02 9.9828128815e+00
3.1311500948e-07 6.8421875000e+01 5.9941406250e+02 1.0105468750e+01
3.2271501027e-07 6.9375000000e+01 5.9669531250e+02 1.0018750191e+01
3.3231501106e-07 6.9875000000e+01 5.9772656250e+02 1.0071874619e+01
3.4191501186e-07 7.1093750000e+01 5.9700000000e+02 1.0176562309e+01
3.5151501265e-07 7.1375000000e+01 5.9887500000e+02 1.0072656631e+01
3.6111501345e-07 7.1078125000e+01 5.9868750000e+02 1.0072656631e+01
3.7071498582e-07 7.1328125000e+01 5.9674218750e+02 1.0047656059e+01
3.8031498661e-07 7.4046875000e+01 5.9892187500e+02 1.0162500381e+01
3.8991498741e-07 7.4875000000e+01 5.9653125000e+02 1.0083593369e+01
3.9951498820e-07 7.3671875000e+01 5.9648437500e+02 9.9671878815e+00
4.0911498900e-07 7.5484375000e+01 5.9786718750e+02 1.0074218750e+01
4.1871498979e-07 7.5671875000e+01 5.9575781250e+02 1.0183593750e+01
4.2831499059e-07 7.4906250000e+01 5.9840625000e+02 1.0120312691e+01
4.3791499138e-07 7.7484375000e+01 5.9798437500e+02 1.0049219131e+01
4.4751499217e-07 7.7312500000e+01 5.9929687500e+02 1.0242187500e+01
4.5711499297e-07 7.7625000000e+01 6.0039843750e+02 1.0066406250e+01
4.6671499376e-07 7.9406250000e+01 5.9622656250e+02 1.0129687309e+01
4.7631499456e-07 8.0156250000e+01 5.9671875000e+02 1.0128125191e+01
4.8591499535e-07 7.9984375000e+01 5.9812500000e+02 1.0092968941e+01
4.9551499615e-07 7.9859375000e+01 5.9786718750e+02 1.0228906631e+01
5.0511499694e-07 8.0843750000e+01 5.9669531250e+02 1.0167187691e+01
5.1471499773e-07 8.0000000000e+01 5.9955468750e+02 1.0170312881e+01
5.2431499853e-07 8.0875000000e+01 5.9760937500e+02 1.0087499619e+01
5.3391499932e-07 8.0656250000e+01 5.9697656250e+02 1.0053125381e+01
5.4351500012e-07 8.1375000000e+01 5.9641406250e+02 1.0117968559e+01
5.5311500091e-07 8.2390625000e+01 5.9913281250e+02 1.0229687691e+01
5.6271500171e-07 8.4968750000e+01 5.9650781250e+02 1.0196093559e+01
5.7231500250e-07 8.4828125000e+01 5.9610937500e+02 1.0208593369e+01
5.8191500329e-07 8.3046875000e+01 5.9697656250e+02 1.0082812309e+01
5.9151500409e-07 8.4031250000e+01 5.9770312500e+02 1.0053906441e+01
6.0111500488e-07 8.4781250000e+01 5.9814843750e+02 1.0112500191e+01
6.1071500568e-07 8.4968750000e+01 5.9650781250e+02 1.0149999619e+01
6.2031500647e-07 8.8140625000e+01 5.9857031250e+02 1.0041406631e+01
6.2991500727e-07 8.7312500000e+01 5.9561718750e+02 1.0154687881e+01
6.3951500806e-07 8.6656250000e+01 5.9622656250e+02 1.0145312309e+01
6.4911500886e-07 8.8359375000e+01 5.9758593750e+02 1.0282812119e+01
6.5871500965e-07 8.7859375000e+01 5.9976562500e+02 1.0183593750e+01
6.6831501044e-07 8.8062500000e+01 5.9732812500e+02 1.0061718941e+01
6.7791501124e-07 8.7171875000e+01 5.9868750000e+02 1.0230468750e+01
6.8751501203e-07 8.8296875000e+01 5.9901562500e+02 1.0067187309e+01
6.9711501283e-07 8.8687500000e+01 5.9742187500e+02 1.0123437881e+01
7.0671501362e-07 9.1250000000e+01 5.9655468750e+02 1.0158594131e+01
7.1631501442e-07 9.1312500000e+01 5.9730468750e+02 1.0133593559e+01
7.2591501521e-07 9.1000000000e+01 5.9915625000e+02 1.0152343750e+01
7.3551501600e-07 9.2734375000e+01 5.9800781250e+02 1.0050781250e+01
7.4511501680e-07 9.2312500000e+01 5.9493750000e+02 1.0110937119e+01
7.5471501759e-07 9.2843750000e+01 5.9632031250e+02 1.0082031250e+01
7.6431501839e-07 9.3437500000e+01 5.9718750000e+02 1.0164062500e+01
7.7391501918e-07 9.2281250000e+01 5.9765625000e+02 1.0124218941e+01
7.8351501998e-07 9.4968750000e+01 5.9545312500e+02 1.0194531441e+01
7.9311502077e-07 9.4906250000e+01 5.9718750000e+02 1.0093750000e+01
8.0271502156e-07 9.7968750000e+01 5.9592187500e+02 1.0078125000e+01
8.1231502236e-07 9.5906250000e+01 5.9765625000e+02 1.0098437309e+01
8.2191502315e-07 9.5796875000e+01 5.9683593750e+02 1.0161718369e+01
8.3151502395e-07 9.8671875000e+01 5.9641406250e+02 1.0112500191e+01
8.4111502474e-07 9.7640625000e+01 5.9714062500e+02 1.0139843941e+01
8.5071502554e-07 9.9093750000e+01 5.9796093750e+02 1.0107812881e+01
8.6031502633e-07 9.8140625000e+01 5.9835937500e+02 1.0205469131e+01
8.6991502712e-07 1.0075000000e+02 5.9735156250e+02 1.0114062309e+01
8.7951502792e-07 1.0028125000e+02 5.9671875000e+02 1.0264062881e+01
8.8911497187e-07 1.0076562500e+02 5.9681250000e+02 1.0034375191e+01
8.9871497266e-07 9.9656250000e+01 5.9873437500e+02 9.9890623093e+00
9.0831497346e-07 1.0115625000e+02 5.9692968750e+02 1.0183593750e+01
9.1791497425e-07 1.0120312500e+02 5.9735156250e+02 1.0120312691e+01
9.2751497505e-07 1.0265625000e+02 5.9826562500e+02 1.0130468369e+01
9.3711497584e-07 1.0493750000e+02 5.9946093750e+02 1.0230468750e+01
9.4671497664e-07 1.0450000000e+02 5.9885156250e+02 1.0152343750e+01
9.5631503427e-07 1.0379687500e+02 5.9772656250e+02 1.0179687500e+01
9.6591497822e-07 1.0456250000e+02 5.9960156250e+02 1.0227343559e+01
9.7551503586e-07 1.0454687500e+02 5.9873437500e+02 1.0157812119e+01
9.8511497981e-07 1.0342187500e+02 5.9700000000e+02 1.0051562309e+01
9.9471503745e-07 1.0460937500e+02 5.9864062500e+02 1.0135937691e+01
1.0043149814e-06 1.0423437500e+02 5.9657812500e+02 1.0128125191e+01
1.0139150390e-06 1.0556250000e+02 5.9728125000e+02 1.0093750000e+01
1.0235149830e-06 1.0657812500e+02 5.9901562500e+02 1.0123437881e+01
1.0331150406e-06 1.0787500000e+02 5.9985937500e+02 1.0146875381e+01
1.0427149846e-06 1.0753125000e+02 5.9847656250e+02 1.0105468750e+01
1.0523150422e-06 1.0831250000e+02 6.0007031250e+02 1.0114062309e+01
1.0619149862e-06 1.0760937500e+02 5.9824218750e+02 1.0045312881e+01
1.0715150438e-06 1.0964062500e+02 5.9702343750e+02 1.0069531441e+01
1.0811149878e-06 1.0950000000e+02 5.9678906250e+02 1.0140625000e+01
1.0907150454e-06 1.0946875000e+02 5.9711718750e+02 1.0085937500e+01
1.1003149893e-06 1.1246875000e+02 5.9671875000e+02 1.0211718559e+01
1.1099150470e-06 1.1242187500e+02 5.9786718750e+02 1.0077343941e+01
1.1195149909e-06 1.1215625000e+02 5.9974218750e+02 1.0044530869e+01
1.1291150486e-06 1.1082812500e+02 5.9812500000e+02 1.0091405869e+01
1.1387149925e-06 1.1454687500e+02 5.9854687500e+02 1.0092968941e+01
1.1483150502e-06 1.1301562500e+02 5.9725781250e+02 1.0128125191e+01
1.1579149941e-06 1.1545312500e+02 5.9826562500e+02 1.0184374809e+01
1.1675150517e-06 1.1445312500e+02 5.9767968750e+02 1.0158594131e+01
1.1771149957e-06 1.1520312500e+02 5.9753906250e+02 1.0137499809e+01
1.1867150533e-06 1.1598437500e+02 5.9657812500e+02 1.0096875191e+01
1.1963149973e-06 1.1500000000e+02 5.9859375000e+02 1.0196093559e+01
1.2059150549e-06 1.1614062500e+02 5.9751562500e+02 1.0014843941e+01
1.2155149989e-06 1.1703125000e+02 5.9676562500e+02 1.0150781631e+01
1.2251150565e-06 1.1842187500e+02 5.9917968750e+02 1.0165624619e+01
1.2347150005e-06 1.1871875000e+02 5.9763281250e+02 1.0186718941e+01
1.2443149444e-06 1.2065625000e+02 5.9868750000e+02 1.0203906059e+01
1.2539150021e-06 1.1992187500e+02 5.9868750000e+02 1.0082031250e+01
1.2635149460e-06 1.2087500000e+02 5.9974218750e+02 1.0019531250e+01
1.2731150036e-06 1.2340625000e+02 5.9868750000e+02 1.0090624809e+01
1.2827149476e-06 1.2181250000e+02 5.9946093750e+02 1.0072656631e+01
1.2923150052e-06 1.2162500000e+02 5.9812500000e+02 1.0085937500e+01
1.3019149492e-06 1.2221875000e+02 5.9915625000e+02 1.0197656631e+01
1.3115150068e-06 1.2293750000e+02 5.9716406250e+02 1.0089062691e+01
1.3211149508e-06 1.2420312500e+02 5.9775000000e+02 1.0157031059e+01
1.3307150084e-06 1.2335937500e+02 5.9964843750e+02 1.0180468559e+01
1.3403149524e-06 1.2482812500e+02 5.9700000000e+02 1.0121093750e+01
1.3499150100e-06 1.2579687500e+02 5.9763281250e+02 1.0149999619e+01
1.3595149539e-06 1.2660937500e+02 5.9685937500e+02 1.0218750000e+01
1.3691150116e-06 1.2554687500e+02 5.9810156250e+02 1.0182031631e+01
1.3787149555e-06 1.2457812500e+02 5.9946093750e+02 1.0157031059e+01
1.3883150132e-06 1.2657812500e+02 5.9559375000e+02 1.0130468369e+01
1.3979149571e-06 1.2603125000e+02 5.9482031250e+02 1.0151562691e+01
1.4075150148e-06 1.2787500000e+02 5.9957812500e+02 1.0119531631e+01
1.4171149587e-06 1.2671875000e+02 5.9791406250e+02 1.0124218941e+01
1.4267150164e-06 1.3043750000e+02 5.9826562500e+02 1.0169530869e+01
1.4363149603e-06 1.2846875000e+02 5.9796093750e+02 9.9093751907e+00
1.4459150179e-06 1.3023437500e+02 5.9828906250e+02 1.0214062691e+01
1.4555149619e-06 1.2931250000e+02 5.9742187500e+02 1.0100781441e+01
1.4651150195e-06 1.3076562500e+02 5.9903906250e+02 1.0031250000e+01
1.4747149635e-06 1.2998437500e+02 5.9767968750e+02 1.0121093750e+01
1.4843150211e-06 1.3162500000e+02 5.9992968750e+02 1.0220312119e+01
1.4939149651e-06 1.3292187500e+02 5.9955468750e+02 1.0103906631e+01
1.5035150227e-06 1.3353125000e+02 5.9732812500e+02 1.0149999619e+01
1.5131149667e-06 1.3210937500e+02 5.9664843750e+02 1.0069531441e+01
1.5227150243e-06 1.3253125000e+02 5.9704687500e+02 1.0082812309e+01
1.5323149682e-06 1.3379687500e+02 5.9784375000e+02 1.0218750000e+01
1.5419150259e-06 1.3357812500e+02 5.9721093750e+02 1.0234375000e+01
1.5515149698e-06 1.3448437500e+02 5.9676562500e+02 1.0146093369e+01
1.5611150275e-06 1.3595312500e+02 5.9765625000e+02 1.0047656059e+01
1.5707149714e-06 1.3529687500e+02 5.9871093750e+02 1.0100781441e+01
1.5803150291e-06 1.3681250000e+02 5.9746875000e+02 9.9976558685e+00
1.5899149730e-06 1.3731250000e+02 5.9990625000e+02 1.0107812881e+01
1.5995150306e-06 1.3779687500e+02 5.9650781250e+02 1.0168749809e+01
1.6091149746e-06 1.3875000000e+02 5.9660156250e+02 1.0100781441e+01
1.6187150322e-06 1.3829687500e+02 5.9662500000e+02 1.0171093941e+01
1.6283149762e-06 1.3857812500e+02 5.9674218750e+02 1.0210937500e+01
1.6379150338e-06 1.3956250000e+02 5.9603906250e+02 1.0156250000e+01
1.6475149778e-06 1.4029687500e+02 5.9606250000e+02 1.0201562881e+01
1.6571150354e-06 1.4062500000e+02 5.9800781250e+02 1.0025781631e+01
1.6667149794e-06 1.4204687500e+02 5.9791406250e+02 1.0058593750e+01
1.6763150370e-06 1.4243750000e+02 5.9798437500e+02 1.0071093559e+01
1.6859149810e-06 1.4176562500e+02 5.9571093750e+02 1.0082031250e+01
1.6955150386e-06 1.4234375000e+02 5.9946093750e+02 1.0128125191e+01
1.7051149825e-06 1.4375000000e+02 5.9810156250e+02 1.0110937119e+01
1.7147150402e-06 1.4409375000e+02 5.9678906250e+02 1.0125000000e+01
1.7243149841e-06 1.4479687500e+02 5.9786718750e+02 1.0123437881e+01
1.7339150418e-06 1.4489062500e+02 5.9678906250e+02 9.9921875000e+00
1.7435149857e-06 1.4600000000e+02 5.9861718750e+02 1.0069531441e+01
1.7531150434e-06 1.4425000000e+02 5.9585156250e+02 1.0124218941e+01
1.7627149873e-06 1.4509375000e+02 5.9704687500e+02 1.0153124809e+01
1.7723150449e-06 1.4575000000e+02 6.0021093750e+02 1.0155468941e+01
1.7819149889e-06 1.4820312500e+02 5.9850000000e+02 1.0113281250e+01
1.7915150465e-06 1.4512500000e+02 5.9786718750e+02 1.0134374619e+01
1.8011149905e-06 1.4759375000e+02 5.9692968750e+02 1.0160937309e+01
1.8107150481e-06 1.4959375000e+02 5.9868750000e+02 1.0162500381e+01
1.8203149921e-06 1.4823437500e+02 5.9899218750e+02 1.0148437500e+01
1.8299150497e-06 1.4920312500e+02 5.9760937500e+02 1.0039843559e+01
1.8395149937e-06 1.4920312500e+02 5.9676562500e+02 1.0135156631e+01
1.8491150513e-06 1.4825000000e+02 5.9648437500e+02 1.0175000191e+01
1.8587149953e-06 1.5042187500e+02 5.9861718750e+02 1.0287500381e+01
1.8683150529e-06 1.5304687500e+02 5.9707031250e+02 1.0157812119e+01
1.8779149968e-06 1.5043750000e+02 5.9756250000e+02 1.0142187119e+01
1.8875150545e-06 1.5200000000e+02 5.9838281250e+02 1.0094531059e+01
1.8971149984e-06 1.5368750000e+02 5.9812500000e+02 1.0161718369e+01
1.9067150561e-06 1.5410937500e+02 5.9568750000e+02 1.0122655869e+01
1.9163148863e-06 1.5403125000e+02 5.9657812500e+02 1.0121874809e+01
1.9259150577e-06 1.5328125000e+02 5.9765625000e+02 1.0142969131e+01
1.9355150016e-06 1.5471875000e+02 5.9561718750e+02 1.0141406059e+01
1.9451149456e-06 1.5464062500e+02 5.9824218750e+02 1.0211718559e+01
1.9547148895e-06 1.5587500000e+02 5.9786718750e+02 1.0090624809e+01
1.9643150608e-06 1.5435937500e+02 5.9791406250e+02 1.0177343369e+01
1.9739150048e-06 1.5429687500e+02 5.9671875000e+02 1.0047656059e+01
1.9835149487e-06 1.5503125000e+02 5.9880468750e+02 1.0118749619e+01
1.9931148927e-06 1.5571875000e+02 5.9789062500e+02 1.0067187309e+01
2.0027150640e-06 1.5650000000e+02 5.9749218750e+02 1.0009374619e+01
2.0123150080e-06 1.5529687500e+02 5.9861718750e+02 1.0118749619e+01
2.0219149519e-06 1.5654687500e+02 5.9749218750e+02 1.0171875000e+01
2.0315148959e-06 1.5790625000e+02 5.9671875000e+02 1.0102343559e+01
2.0411150672e-06 1.5801562500e+02 5.9730468750e+02 1.0114062309e+01
2.0507150111e-06 1.5890625000e+02 5.9728125000e+02 1.0141406059e+01
2.0603149551e-06 1.5901562500e+02 5.9894531250e+02 1.0060155869e+01
2.0699148990e-06 1.6089062500e+02 5.9791406250e+02 1.0114843369e+01
2.0795150704e-06 1.6035937500e+02 5.9854687500e+02 1.0128906250e+01
2.0891150143e-06 1.6025000000e+02 5.9723437500e+02 1.0222656250e+01
2.0987149583e-06 1.5950000000e+02 5.9606250000e+02 1.0123437881e+01
2.1083149022e-06 1.6128125000e+02 5.9711718750e+02 1.0121874809e+01
2.1179150735e-06 1.5975000000e+02 5.9685937500e+02 1.0117968559e+01
2.1275150175e-06 1.6218750000e+02 5.9599218750e+02 1.0175000191e+01
2.1371149614e-06 1.6251562500e+02 5.9791406250e+02 9.9632816315e+00
2.1467149054e-06 1.6234375000e+02 5.9753906250e+02 1.0035156250e+01
2.1563150767e-06 1.6292187500e+02 5.9922656250e+02 1.0088281631e+01
2.1659150207e-06 1.6303125000e+02 5.9798437500e+02 1.0046093941e+01
2.1755149646e-06 1.6429687500e+02 5.9946093750e+02 1.0197656631e+01
